iter	Passed	Remaining
353	1583	5574
354	1589	5573
355	1592	5565
356	1595	5553
357	1597	5543
358	1601	5536
359	1604	5526
360	1606	5513
361	1609	5503
362	1613	5497
363	1616	5488
364	1618	5476
365	1621	5466
366	1629	5474
367	1637	5482
368	1647	5497
369	1654	5500
370	1656	5488
371	1659	5478
372	1662	5467
373	1671	5477
374	1679	5487
375	1684	5482
376	1689	5482
377	1694	5479
378	1698	5472
379	1704	5472
380	1706	5461
381	1709	5451
382	1712	5440
383	1718	5441
384	1721	5431
385	1723	5419
386	1726	5410
387	1729	5403
388	1732	5394
389	1734	5382
390	1737	5373
391	1746	5381
392	1755	5392
393	1761	5390
394	1767	5392
395	1770	5382
396	1783	5404
397	1785	5393
398	1788	5383
399	1790	5372
400	1794	5366
401	1796	5355
402	1799	5345
403	1801	5333
404	1804	5325
405	1808	5318
406	1811	5309
407	1813	5297
408	1815	5288
409	1822	5291
410	1826	5283
411	1828	5272
412	1847	5308
413	1849	5297
414	1852	5288
415	1853	5276
416	1856	5267
417	1863	5268
418	1865	5259
419	1867	5247
420	1873	5247
421	1876	5237
422	1878	5225
423	1880	5216
424	1883	5208
425	1887	5201
426	1889	5189
427	1892	5181
428	1894	5169
429	1899	5168
430	1901	5158
431	1904	5149
432	1906	5138
433	1910	5133
434	1924	5154
435	1930	5152
436	1936	5153
437	1951	5177
438	1953	5167
439	1956	5158
440	1959	5148
441	1960	5137
442	1964	5130
443	1966	5119
444	1969	5110
445	1971	5100
446	1973	5091
447	1984	5102
448	1992	5107
449	1997	5104
450	2002	5102
451	2006	5096
452	2009	5088
453	2011	5078
454	2017	5078
455	2020	5069
456	2023	5061
457	2026	5052
458	2029	5044
459	2032	5035
460	2034	5025
461	2036	5017
462	2038	5006
463	2045	5007
464	2048	4999
465	2050	4989
466	2052	4979
467	2060	4984
468	2063	4975
469	2065	4965
470	2070	4963
471	2072	4953
472	2075	4945
473	2077	4934
474	2082	4931
475	2084	4921
476	2088	4916
477	2090	4906
478	2096	4906
479	2098	4897
480	2101	4889
481	2103	4879
482	2110	4879
483	2112	4870
484	2114	4862
485	2116	4852
486	2120	4846
487	2123	4837
488	2126	4830
489	2128	4822
490	2131	4814
491	2139	4818
492	2141	4808
493	2144	4801
494	2148	4795
495	2150	4787
496	2152	4777
497	2155	4769
498	2157	4760
499	2161	4754
500	2165	4749
501	2170	4746
502	2183	4761
503	2187	4756
504	2189	4748
505	2204	4765
506	2209	4762
507	2220	4773
508	2222	4763
509	2228	4762
510	2248	4792
511	2253	4788
512	2255	4779
513	2261	4777
514	2263	4768
515	2266	4761
516	2268	4752
517	2273	4749
518	2275	4740
519	2283	4743
520	2289	4740
521	2291	4732
522	2294	4724
523	2300	4723
524	2303	4716
525	2307	4711
526	2313	4710
527	2316	4703
528	2318	4694
529	2321	4686
530	2330	4691
531	2333	4685
532	2339	4683
533	2344	4679
534	2346	4671
535	2354	4674
536	2357	4666
537	2360	4659
538	2368	4662
539	2374	4660
540	2379	4657
541	2383	4653
542	2386	4645
543	2429	4716
544	2434	4713
545	2437	4706
546	2450	4717
547	2452	4708
548	2459	4708
549	2462	4701
550	2464	4692
551	2471	4692
552	2478	4691
553	2489	4699
554	2494	4696
555	2499	4693
556	2507	4695
557	2512	4692
558	2514	4683
559	2517	4675
560	2526	4679
561	2529	4672
562	2533	4665
563	2537	4660
564	2539	4652
565	2542	4645
566	2549	4645
567	2553	4638
568	2555	4630
569	2558	4623
570	2568	4629
571	2571	4621
572	2575	4616
573	2584	4619
574	2589	4616
575	2593	4609
576	2595	4601
577	2601	4600
578	2611	4605
579	2614	4598
580	2617	4591
581	2620	4583
582	2623	4576
583	2629	4574
584	2632	4568
585	2635	4559
586	2642	4560
587	2645	4552
588	2648	4546
589	2655	4545
590	2660	4541
591	2665	4538
592	2677	4546
593	2686	4549
594	2702	4564
595	2706	4559
596	2711	4554
597	2713	4547
598	2722	4549
599	2727	4545
600	2747	4567
601	2750	4560
602	2753	4552
603	2762	4555
604	2765	4547
605	2778	4556
606	2780	4548
607	2786	4546
608	2788	4538
609	2791	4531
610	2794	4522
611	2803	4525
612	2809	4523
613	2812	4516
614	2815	4508
615	2817	4501
616	2820	4493
617	2828	4493
618	2830	4485
619	2833	4478
620	2841	4478
621	2843	4471
622	2864	4492
623	2866	4484
624	2870	4477
625	2872	4469
626	2880	4469
627	2883	4462
628	2885	4453
629	2891	4452
630	2895	4446
631	2898	4438
632	2904	4437
633	2911	4436
634	2925	4445
635	2936	4451
636	2943	4450
637	2946	4442
638	2949	4435
639	2952	4428
640	2962	4432
641	2965	4425
642	2972	4424
643	2977	4420
644	2985	4420
645	2991	4418
646	3001	4421
647	3005	4414
648	3008	4408
649	3010	4400
650	3013	4393
651	3015	4384
652	3018	4377
653	3023	4372
654	3026	4365
655	3028	4357
656	3031	4350
657	3037	4348
658	3040	4341
659	3042	4333
660	3047	4328
661	3049	4321
662	3052	4313
663	3054	4305
664	3057	4298
665	3061	4293
666	3064	4286
667	3066	4277
668	3068	4270
669	3074	4267
670	3077	4261
671	3079	4252
672	3082	4245
673	3086	4241
674	3089	4234
675	3091	4226
676	3094	4219
677	3097	4211
678	3100	4205
679	3102	4197
680	3105	4190
681	3107	4182
682	3113	4180
683	3118	4175
684	3121	4169
685	3126	4165
686	3129	4159
687	3138	4160
688	3142	4154
689	3145	4148
690	3148	4141
691	3160	4147
692	3176	4157
693	3181	4153
694	3184	4146
695	3189	4142
696	3195	4139
697	3201	4137
698	3205	4131
699	3207	4123
700	3210	4117
701	3212	4109
702	3221	4110
703	3236	4118
704	3246	4121
705	3276	4149
706	3290	4156
707	3296	4153
708	3303	4151
709	3313	4153
710	3318	4148
711	3328	4151
712	3333	4146
713	3339	4143
714	3344	4139
715	3355	4142
716	3364	4143
717	3367	4136
718	3370	4129
719	3378	4129
720	3382	4123
721	3385	4117
722	3392	4114
723	3394	4107
724	3404	4109
725	3410	4105
726	3419	4106
727	3422	4098
728	3432	4100
729	3435	4093
730	3442	4091
731	3445	4085
732	3447	4078
733	3451	4072
734	3456	4067
735	3458	4059
736	3461	4053
737	3470	4053
738	3478	4052
739	3484	4049
740	3492	4048
741	3497	4043
742	3510	4049
743	3514	4043
744	3531	4052
745	3533	4045
746	3537	4039
747	3540	4032
748	3545	4028
749	3552	4026
750	3555	4019
751	3559	4014
752	3562	4006
753	3565	4000
754	3568	3994
755	3589	4006
756	3591	3999
757	3596	3994
758	3604	3994
759	3620	4001
760	3624	3996
761	3627	3989
762	3629	3981
763	3632	3975
764	3638	3971
765	3641	3965
766	3648	3962
767	3657	3962
768	3663	3958
769	3671	3957
770	3678	3955
771	3682	3949
772	3684	3942
773	3689	3937
774	3692	3930
775	3695	3924
776	3697	3916
777	3702	3911
778	3705	3904
779	3715	3906
780	3726	3907
781	3733	3905
782	3735	3897
783	3744	3897
784	3747	3891
785	3756	3890
786	3758	3883
787	3762	3876
788	3764	3869
789	3769	3865
790	3772	3858
791	3785	3862
792	3788	3855
793	3794	3851
794	3796	3844
795	3800	3838
796	3802	3830
797	3819	3839
798	3846	3856
799	3858	3858
800	3862	3852
801	3865	3846
802	3868	3839
803	3885	3846
804	3907	3859
805	3920	3862
806	3924	3856
807	3927	3849
808	3929	3842
809	3932	3835
810	3938	3831
811	3941	3825
812	3944	3817
813	3947	3811
814	3968	3822
815	3981	3825
816	3989	3823
817	3998	3822
818	4008	3822
819	4019	3823
820	4035	3829
821	4048	3831
822	4051	3824
823	4064	3827
824	4071	3824
825	4079	3822
826	4089	3822
827	4104	3826
828	4113	3825
829	4123	3824
830	4141	3832
831	4152	3832
832	4163	3833
833	4168	3828
834	4177	3827
835	4185	3825
836	4192	3821
837	4218	3836
838	4232	3839
839	4237	3833
840	4242	3828
841	4244	3821
842	4247	3814
843	4250	3806
844	4255	3802
845	4257	3794
846	4261	3788
847	4263	3780
848	4272	3779
849	4274	3771
850	4279	3766
851	4282	3759
852	4286	3753
853	4288	3746
854	4294	3742
855	4297	3735
856	4299	3727
857	4302	3721
858	4309	3717
859	4318	3716
860	4325	3712
861	4369	3740
862	4374	3736
863	4377	3729
864	4383	3724
865	4389	3720
866	4416	3734
867	4442	3746
868	4448	3742
869	4455	3738
870	4468	3740
871	4477	3737
872	4482	3732
873	4488	3728
874	4494	3724
875	4502	3720
876	4509	3717
877	4523	3719
878	4531	3716
879	4544	3718
880	4549	3713
881	4561	3713
882	4565	3707
883	4569	3700
884	4571	3693
885	4574	3686
886	4582	3683
887	4586	3677
888	4597	3677
889	4600	3670
890	4608	3666
891	4611	3660
892	4614	3653
893	4621	3649
894	4629	3646
895	4638	3644
896	4648	3643
897	4665	3647
898	4677	3647
899	4693	3650
900	4701	3647
901	4717	3650
902	4720	3643
903	4727	3640
904	4732	3634
905	4741	3632
906	4743	3624
907	4746	3617
908	4754	3614
909	4758	3608
910	4763	3602
911	4768	3597
912	4771	3590
913	4778	3586
914	4780	3578
915	4783	3571
916	4787	3565
917	4795	3562
918	4797	3555
919	4801	3548
920	4804	3542
921	4807	3535
922	4810	3528
923	4813	3521
924	4820	3517
925	4825	3512
926	4837	3511
927	4842	3506
928	4844	3499
929	4847	3492
930	4850	3485
931	4857	3481
932	4859	3474
933	4877	3478
934	4891	3478
935	4898	3475
936	4904	3470
937	4912	3466
938	4917	3461
939	4929	3461
940	4932	3454
941	4937	3448
942	4939	3441
943	4946	3437
944	4952	3432
945	4955	3426
946	4960	3420
947	4966	3415
948	4969	3408
949	4979	3407
950	4982	3400
951	4989	3396
952	4992	3389
953	4996	3383
954	5002	3378
955	5007	3372
956	5009	3365
957	5041	3378
958	5045	3372
959	5056	3371
960	5061	3365
961	5069	3362
962	5073	3355
963	5079	3351
964	5085	3346
965	5089	3340
966	5099	3337
967	5106	3333
968	5111	3328
969	5114	3321
970	5121	3317
971	5134	3317
972	5140	3312
973	5154	3312
974	5181	3321
975	5186	3316
976	5189	3309
977	5200	3307
978	5216	3308
979	5230	3309
980	5233	3302
981	5238	3296
982	5246	3293
983	5252	3288
984	5256	3282
985	5259	3274
986	5264	3269
987	5266	3261
988	5268	3254
989	5270	3247
990	5273	3240
991	5276	3234
992	5279	3227
993	5281	3219
994	5284	3212
995	5291	3209
996	5294	3202
997	5297	3195
998	5299	3188
999	5304	3182
1000	5307	3176
1001	5310	3169
1002	5322	3168
1003	5324	3161
1004	5336	3159
1005	5343	3155
1006	5346	3148
1007	5349	3141
1008	5354	3136
1009	5356	3129
1010	5359	3122
1011	5362	3115
1012	5375	3114
1013	5386	3112
1014	5395	3109
1015	5403	3105
1016	5416	3105
1017	5422	3100
1018	5425	3093
1019	5428	3086
1020	5431	3080
1021	5434	3073
1022	5438	3067
1023	5440	3060
1024	5443	3053
1025	5464	3056
1026	5469	3051
1027	5474	3046
1028	5477	3039
1029	5479	3032
1030	5482	3025
1031	5487	3020
1032	5489	3013
1033	5492	3006
1034	5495	3000
1035	5506	2997
1036	5509	2991
1037	5513	2985
1038	5518	2979
1039	5520	2972
1040	5527	2968
1041	5530	2961
1042	5533	2954
1043	5536	2948
1044	5543	2943
1045	5549	2939
1046	5552	2932
1047	5566	2932
1048	5569	2925
1049	5572	2918
1050	5575	2912
1051	5583	2908
1052	5586	2901
1053	5588	2895
1054	5592	2889
1055	5594	2882
1056	5597	2875
1057	5600	2868
1058	5605	2863
1059	5607	2856
1060	5610	2850
1061	5623	2848
1062	5630	2844
1063	5635	2838
1064	5638	2832
1065	5640	2825
1066	5648	2821
1067	5659	2819
1068	5672	2817
1069	5675	2811
1070	5678	2804
1071	5683	2799
1072	5700	2799
1073	5703	2793
1074	5706	2786
1075	5714	2783
1076	5731	2783
1077	5736	2777
1078	5739	2771
1079	5742	2764
1080	5745	2758
1081	5750	2752
1082	5756	2748
1083	5761	2742
1084	5764	2736
1085	5767	2729
1086	5770	2723
1087	5774	2717
1088	5778	2711
1089	5780	2704
1090	5792	2702
1091	5795	2696
1092	5807	2693
1093	5809	2687
1094	5822	2685
1095	5825	2678
1096	5831	2674
1097	5834	2667
1098	5838	2661
1099	5843	2656
1100	5846	2649
1101	5849	2643
1102	5852	2636
1103	5855	2630
1104	5858	2624
1105	5863	2618
1106	5869	2613
1107	5875	2608
1108	5883	2605
1109	5886	2598
1110	5898	2596
1111	5909	2593
1112	5915	2588
1113	5921	2583
1114	5923	2576
1115	5926	2570
1116	5928	2563
1117	5934	2558
1118	5936	2552
1119	5942	2546
1120	5948	2541
1121	5951	2535
1122	5954	2529
1123	5960	2524
1124	5963	2518
1125	5967	2512
1126	5973	2506
1127	5977	2501
1128	5980	2494
1129	5989	2491
1130	5994	2485
1131	6000	2480
1132	6002	2474
1133	6005	2467
1134	6007	2461
1135	6013	2456
1136	6017	2450
1137	6021	2444
1138	6030	2440
1139	6035	2435
1140	6040	2429
1141	6044	2424
1142	6047	2417
1143	6052	2412
1144	6054	2405
1145	6068	2404
1146	6073	2398
1147	6079	2393
1148	6082	2387
1149	6094	2384
1150	6097	2378
1151	6108	2375
1152	6119	2372
1153	6126	2367
1154	6162	2374
1155	6171	2370
1156	6174	2364
1157	6178	2358
1158	6190	2355
1159	6196	2350
1160	6198	2343
1161	6202	2337
1162	6205	2331
1163	6209	2325
1164	6213	2319
1165	6216	2313
1166	6224	2309
1167	6227	2303
1168	6231	2297
1169	6235	2291
1170	6239	2285
1171	6243	2280
1172	6249	2275
1173	6253	2269
1174	6257	2263
1175	6264	2258
1176	6275	2255
1177	6278	2249
1178	6289	2245
1179	6293	2239
1180	6296	2234
1181	6306	2230
1182	6308	2223
1183	6314	2218
1184	6316	2212
1185	6320	2206
1186	6325	2201
1187	6328	2194
1188	6332	2188
1189	6334	2182
1190	6342	2178
1191	6344	2171
1192	6348	2165
1193	6361	2163
1194	6371	2159
1195	6374	2153
1196	6395	2153
1197	6404	2149
1198	6413	2144
1199	6426	2142
1200	6443	2140
1201	6447	2134
1202	6450	2128
1203	6453	2122
1204	6470	2121
1205	6473	2114
1206	6476	2108
1207	6479	2102
1208	6485	2097
1209	6488	2091
1210	6491	2085
1211	6499	2080
1212	6502	2074
1213	6505	2068
1214	6511	2063
1215	6514	2057
1216	6518	2051
1217	6522	2045
1218	6525	2039
1219	6528	2033
1220	6531	2027
1221	6539	2022
1222	6542	2016
1223	6545	2010
1224	6552	2005
1225	6555	1999
1226	6559	1994
1227	6564	1988
1228	6568	1982
1229	6571	1976
1230	6594	1976
1231	6596	1970
1232	6605	1965
1233	6621	1963
1234	6624	1957
1235	6630	1952
1236	6634	1946
1237	6644	1942
1238	6664	1941
1239	6671	1936
1240	6674	1930
1241	6676	1924
1242	6682	1919
1243	6684	1912
1244	6701	1910
1245	6703	1904
1246	6708	1899
1247	6711	1892
1248	6714	1886
1249	6716	1880
1250	6721	1875
1251	6723	1868
1252	6726	1862
1253	6730	1856
1254	6736	1851
1255	6738	1845
1256	6741	1839
1257	6746	1834
1258	6761	1831
1259	6763	1825
1260	6766	1818
1261	6768	1812
1262	6776	1808
1263	6779	1802
1264	6783	1796
1265	6787	1790
1266	6790	1784
1267	6792	1778
1268	6795	1772
1269	6799	1766
1270	6802	1760
1271	6805	1754
1272	6812	1750
1273	6815	1743
1274	6818	1738
1275	6821	1732
1276	6825	1726
1277	6828	1720
1278	6831	1714
1279	6836	1709
1280	6838	1702
1281	6841	1697
1282	6844	1691
1283	6846	1685
1284	6855	1680
1285	6863	1675
1286	6869	1670
1287	6872	1664
1288	6877	1659
1289	6886	1654
1290	6897	1650
1291	6909	1647
1292	6922	1643
1293	6934	1639
1294	6937	1633
1295	6943	1628
1296	6945	1622
1297	6948	1616
1298	6951	1610
1299	6957	1605
1300	6959	1599
1301	6974	1596
1302	6976	1590
1303	6981	1584
1304	6985	1579
1305	7007	1577
1306	7015	1572
1307	7024	1568
1308	7034	1563
1309	7039	1558
1310	7044	1552
1311	7052	1548
1312	7055	1542
1313	7064	1537
1314	7071	1532
1315	7081	1528
1316	7088	1523
1317	7097	1518
1318	7111	1515
1319	7118	1510
1320	7126	1505
1321	7131	1499
1322	7160	1499
1323	7173	1495
1324	7182	1490
1325	7190	1485
1326	7195	1480
1327	7198	1474
1328	7201	1468
1329	7206	1462
1330	7209	1457
1331	7212	1451
1332	7216	1445
1333	7220	1439
1334	7224	1434
1335	7227	1428
1336	7234	1423
1337	7236	1417
1338	7246	1412
1339	7249	1406
1340	7252	1400
1341	7255	1394
1342	7275	1392
1343	7278	1386
1344	7281	1380
1345	7287	1375
1346	7290	1369
1347	7293	1363
1348	7305	1359
1349	7307	1353
1350	7318	1348
1351	7324	1343
1352	7327	1337
1353	7330	1331
1354	7333	1325
1355	7339	1320
1356	7346	1315
1357	7365	1312
1358	7372	1307
1359	7380	1302
1360	7387	1297
1361	7396	1292
1362	7419	1290
1363	7427	1285
1364	7432	1279
1365	7435	1273
1366	7448	1269
1367	7450	1263
1368	7457	1258
1369	7461	1252
1370	7472	1248
1371	7475	1242
1372	7478	1236
1373	7486	1231
1374	7490	1225
1375	7497	1220
1376	7505	1215
1377	7510	1209
1378	7513	1204
1379	7517	1198
1380	7522	1192
1381	7528	1187
1382	7530	1181
1383	7550	1178
1384	7565	1174
1385	7567	1168
1386	7570	1162
1387	7575	1157
1388	7578	1151
1389	7581	1145
1390	7583	1139
1391	7588	1133
1392	7593	1128
1393	7596	1122
1394	7604	1117
1395	7607	1111
1396	7632	1109
1397	7655	1106
1398	7658	1100
1399	7661	1094
1400	7666	1088
1401	7669	1083
1402	7682	1078
1403	7686	1073
1404	7697	1068
1405	7701	1062
1406	7706	1057
1407	7708	1051
1408	7712	1045
1409	7719	1040
1410	7725	1034
1411	7729	1029
1412	7735	1023
1413	7739	1018
1414	7744	1012
1415	7747	1006
1416	7751	1001
1417	7761	996
1418	7763	990
1419	7767	984
1420	7771	978
1421	7775	973
1422	7777	967
1423	7782	961
1424	7785	956
1425	7789	950
1426	7792	944
1427	7801	939
1428	7804	933
1429	7809	928
1430	7812	922
1431	7823	917
1432	7826	912
1433	7829	906
1434	7832	900
1435	7841	895
1436	7843	889
1437	7848	884
1438	7851	878
1439	7854	872
1440	7856	866
1441	7869	862
1442	7885	857
1443	7896	853
1444	7900	847
1445	7903	841
1446	7905	835
1447	7908	830
1448	7911	824
1449	7921	819
1450	7933	814
1451	7942	809
1452	7946	803
1453	7950	798
1454	7958	793
1455	7960	787
1456	7963	781
1457	7968	776
1458	7971	770
1459	7973	764
1460	7976	758
1461	7980	753
1462	7982	747
1463	7985	741
1464	7988	736
1465	7990	730
1466	7996	724
1467	7998	719
1468	8001	713
1469	8003	707
1470	8007	702
1471	8010	696
1472	8012	690
1473	8015	685
1474	8019	679
1475	8022	673
1476	8024	668
1477	8026	662
1478	8029	656
1479	8035	651
1480	8037	645
1481	8040	640
1482	8042	634
1483	8046	629
1484	8049	623
1485	8052	617
1486	8054	612
1487	8058	606
1488	8061	600
1489	8063	595
1490	8066	589
1491	8068	584
1492	8075	578
1493	8077	573
1494	8080	567
1495	8085	562
1496	8088	556
1497	8090	550
1498	8112	546
1499	8116	541
1500	8123	535
1501	8130	530
1502	8134	524
1503	8138	519
1504	8141	513
1505	8143	508
1506	8146	502
1507	8150	497
1508	8155	491
1509	8157	486
1510	8159	480
1511	8164	475
1512	8169	469
1513	8176	464
1514	8181	459
1515	8184	453
1516	8193	448
1517	8196	442
1518	8198	437
1519	8203	431
1520	8205	426
1521	8208	420
1522	8210	415
1523	8213	409
1524	8216	404
1525	8219	398
1526	8221	393
1527	8224	387
1528	8226	382
1529	8232	376
1530	8234	371
1531	8236	365
1532	8239	360
1533	8243	354
1534	8245	349
1535	8248	343
1536	8250	338
1537	8254	332
1538	8257	327
1539	8260	321
1540	8262	316
1541	8265	310
1542	8272	305
1543	8274	300
1544	8277	294
1545	8281	289
1546	8284	283
1547	8286	278
1548	8289	272
1549	8291	267
1550	8295	262
1551	8297	256
1552	8300	251
1553	8302	245
1554	8306	240
1555	8311	235
1556	8314	229
1557	8316	224
1558	8321	218
1559	8323	213
1560	8326	208
1561	8328	202
1562	8332	197
1563	8335	191
1564	8337	186
1565	8339	181
1566	8342	175
1567	8348	170
1568	8351	164
1569	8353	159
1570	8358	154
1571	8365	149
1572	8371	143
1573	8373	138
1574	8376	132
1575	8378	127
1576	8382	122
1577	8387	116
1578	8391	111
1579	8393	106
1580	8412	101
1581	8416	95
1582	8424	90
1583	8431	85
1584	8439	79
1585	8453	74
1586	8455	69
1587	8458	63
1588	8465	58
1589	8468	53
1590	8470	47
1591	8475	42
1592	8477	37
1593	8480	31
1594	8482	26
1595	8485	21
1596	8489	15
1597	8492	10
1598	8494	5
1599	8496	0
